prime,memory_used,time_elapsed
2,64,0.0212
3,144,0.0495
5,400,0.1287
7,784,0.2862
11,1936,0.8714
13,2704,1.1493
17,4624,2.3926
19,5776,3.1382
23,8464,5.3906
29,13456,10.2938
31,15376,12.2721
37,21904,13.9107
41,26896,17.8105
43,29584,30.9291
47,35344,24.9672
53,44944,22.1965
59,55696,28.844
61,59536,30.2286
67,71824,33.381
71,80656,39.1043
73,85264,41.928
79,99856,61.2143
83,110224,66.2521
89,126736,75.0329
97,150544,97.5065
101,163216,110.646
103,169744,115.836
107,183184,128.49
109,190096,135.387
113,204304,149.906
127,258064,216.105
131,274576,234.471
137,300304,267.5
139,309136,280.878
149,355216,346.127
